ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
40962832501,MODOFO Tumbler Stainless 1200ml Sedotan Botol Minum Aesthetic Tahan Panas Dingin 24 Jam Volume Besar Besar,"58,0RB",1RB+,MODOFO Official Store,7%,Rp4.060,https://shopee.co.id/product/1564014783/40962832501,https://s.shopee.co.id/3fza0XBDJN
25488265326,Dispenser Beras Otomatis & Estetik - 5kg/10kg Wadah penyimpanan Beras Food Grade & Anti Kutu,"114,8RB",10RB+,Araik MALL,8%,Rp9.184,https://shopee.co.id/product/1316286670/25488265326,https://s.shopee.co.id/3Vg9oEBqeM
20407755927,JLD Mesin Potong Kayu 54.6CC Mesin sinso senso Chainsaw 2Tak 20inch Original,"920,0RB",10RB+,J.L.D Tool Official Shop,10%,Rp92.000,https://shopee.co.id/product/185832476/20407755927,https://s.shopee.co.id/3LMjbvCTzL
21591235755,Lampu Gantung Minimalis Kristal Lampu Hias Gantung Ruang Tamu Lampu Gantung Ruang Makan Dekoratif mewah,"236,0RB",10RB+,vbhzfr9tcb,8%,Rp18.880,https://shopee.co.id/product/786178952/21591235755,https://s.shopee.co.id/7AZSAxxtD6
22324129063,PALOMA DLP 3121 Digital Lock Smart Home Kunci Pintu Door Handle WiFi,"2,5JT",1RB+,PALOMA HARDWARE,10%,Rp248.500,https://shopee.co.id/product/49097267/22324129063,https://s.shopee.co.id/70G1yeyWY5
23003920701,Square rak dapur rak toilet rak susun serbaguna rak dorong rak salon rak troli 4 tingkat dengan roda,"29,0RB",10RB+,bedola,5%,Rp1.450,https://shopee.co.id/product/128213168/23003920701,https://s.shopee.co.id/6pwbmLz9t4
21180658599,MONAKE  Alat Jerman Rotary Hammer Drill Mesin Bor Beton Listrik Electric Hammer,"650,7RB",2RB+,MONAKE Official Store,10%,Rp65.070,https://shopee.co.id/product/824728358/21180658599,https://s.shopee.co.id/6fdBa2znE3
6344465725,TEDUH LITE - Roller Blind blackout 100% Tirai Jendela Gulung untuk Indoor READY STOCK,"148,5RB",10RB+,Indra Interior Jakarta,6%,Rp8.910,https://shopee.co.id/product/216910680/6344465725,https://s.shopee.co.id/7pp8yBvLrI
22647052548,Deli Brankas Besi Digital / Digital Safe Box 48x42x80 cm Double Unlocking Step LED Display ET553,"3,9JT",2RB+,Deli Office Automation Official Shop,7%,Rp274.540,https://shopee.co.id/product/368640726/22647052548,https://s.shopee.co.id/7fVilsvzCH
47602642932,(CSL)Rak Susun Serbaguna 4 Tingkat Dengan Rak Kamar Mandi Bahan Plastik Portable Rak Dapur,"29,9RB",7RB+,Casa_Living188,13%,Rp3.887,https://shopee.co.id/product/1693042693/47602642932,https://s.shopee.co.id/7VCIZZwcXG
4001075322,JLD 13MM CORDLESS IMPACT WRENCH BRUSHLESS 350N.M impact baterai 88VF MESIN BOR JV88 UNTUK BAUT MOBIL impact jld 88v original 2 baterai impek baterai jld,"570,0RB",10RB+,J.L.D Tool Official Shop,10%,Rp57.000,https://shopee.co.id/product/185832476/4001075322,https://s.shopee.co.id/7KssNGxFsF
24683685647,PAKET HEMAT ISI 2 BOTOL SONIC ANTI SUMBAT,"39,0RB",15,AL_BARIQI,20%,Rp7.800,https://shopee.co.id/product/1119036908/24683685647,https://s.shopee.co.id/5q44aW2xuy
28722362321,IRONHOOF 588V Mesin Potong Rumput 88V Pemotong Rumput Listrik Pemangkas Rumput Dengan Baterai Li-ion,"239,0RB",10RB+,Langton Official Store,10%,Rp23.900,https://shopee.co.id/product/1377750663/28722362321,https://s.shopee.co.id/5fkeOD3bFx
24030777340,Termos Stainless Steel Double Layer Kapasitas BesarBotol Termos Insulasi Panas DinginCangkir Termal,"420,0RB",372,giowarehause,50%,Rp210.000,https://shopee.co.id/product/1247634495/24030777340,https://s.shopee.co.id/5VREBu4Eaw
41505155986,JLD Pistol Paku Pistol Pengencang Alat paku tembak beton Nail gun paku tembak manual Mesin Paku Beton Fastening Gun,"147,5RB",3RB+,JLD-Offical Store,6%,Rp8.850,https://shopee.co.id/product/1202149192/41505155986,https://s.shopee.co.id/5L7nzb4rvv
5193243962,ANTI SUMBAT MENGATASI WC MAMPET WASTAFEL SEPTICTANK TAPON FASTAPON,"50,0RB",6RB+,Os.collection5,5%,Rp2.500,https://shopee.co.id/product/61664050/5193243962,https://s.shopee.co.id/6VJlNk0QZA
28154041939,(ISI 100 PCS) LUNCH BOX PAPER/ KERTAS COKLAT KRAFT KOTAK MAKAN TAKEAWAY POLOS BROWN EKONOMIS (Min Order 100 pcs),"45,0RB",10RB+,Ecopacking,6%,Rp2.700,https://shopee.co.id/product/984195951/28154041939,https://s.shopee.co.id/6L0LBR13u9
19690624438,Sablon Cup Gelas Custom 14oz 16oz 18oz 22oz Datar Murah Free Desain Free Ongkir,560,10RB+,sablonplastiksolo,5%,Rp28,https://shopee.co.id/product/819741243/19690624438,https://s.shopee.co.id/6Aguz81hF8
